Form Number,Date,Gear ,Landing Site ,Shark/Ray,Family name,Shark Scientific name,Common name ,Swahili name,Sex,Weight (kg),Total length (cm),Fork length,Pre-caudal length,Disc length,Disc width,photo ID,Comment
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,1.5,68,,,,,,
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2,71.5,,,,,,
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2.5,74,,,,,,
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2,71,,,,,,
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3,92,,,,,,
NGM290518-01,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3.5,92.5,,,,,,
NGM290518-01,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3,91,,,,,,
NGM290518-01,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2,71,,,,,,
NGM290518-01,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2.5,72.5,,,,,,
NGM290518-02,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3.5,91,,,,,,
NGM290518-02,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3,90,,,,,,
NGM310518-01,31-May-24,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3,92.5,,,,,,
NGM310518-02,31-May-24,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus sorrah,Spottail shark,Mwanga chapa,M,2,72.5,,,,,,
NGM310518-03,31-May-24,Monofilament,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,1.5,67,,,,,,
NGM010618-01,1-Jun-18,Gillnet,Ngomeni,Shark,Pristidae,Pristis spp,Sawfish,Papa brasi,F,120,110,,,,,,
NGM010618-02,1-Jun-18,Gillnet,Ngomeni,Ray,Dasyatidae,Taeniura meyeni,Round ribbontail ray,Shepwa,F,30,,,,30,,,
NGM010618-02,1-Jun-18,Gillnet,Ngomeni,Ray,Dasyatidae,Taeniura meyeni,Round ribbontail ray,Shepwa,M,24,,,,16,,,
NGM010618-03,1-Jun-18,Monofilament,Ngomeni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,F,33,,,,71,,,
NGM010618-04,1-Jun-18,Monofilament,Ngomeni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,F,29,,,,68,,,
SHM090518-01,9-May-18,Speargun,Shimoni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,F,27,,,,66,,,
SHM090518-02,9-May-18,Speargun,Shimoni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,F,27,,,,67,,,
SHM140518-01,14-May-18,Handline,Shimoni,Ray,Myliobatidae,Mobula kuhlii ,Lesser devilray,Shepwa chenga/Taa maji,F,2.7,,,,54,34,,
SHM240518-01,24-May-18,Speargun,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere,Juvenile,1.23,73,,,,,,
SHM240518-01,24-May-18,Speargun,Shimoni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,,1.17,,,,59,35,,
SHM240518-01,24-May-18,Speargun,Shimoni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,,1.1,,,,63,37,,
SHM300518-01,30-May-18,Speargun,Shimoni,Ray,Myliobatidae,Aetobatus narinari ,Spotted eagleray,Shepwa Tenga/Kipungu,,18,,,,102,75,,
SHM300518-01,30-May-18,Speargun,Shimoni,Ray,Myliobatidae,Aetobatus narinari ,Spotted eagleray,Shepwa Tenga/Kipungu,,18,,,,59,35,,
SHM310518-01,31-May-18,Speargun,Shimoni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi/Karwe,,2.49,,,,,,,
SHM040618-01,4-Jun-18,Speargun,Shimoni,Ray,Myliobatidae,Mobula kuhlii ,Lesser devilray,Shepwa chenga/Taa maji,,38,,,,100,,,
SHM060618-01,6-Jun-18,Speargun,Shimoni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi/Karwe,,1.4,,,,28.5,23,,
SHM060618-01,6-Jun-18,Speargun,Shimoni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi/Karwe,,1.4,,,,35.5,23.6,,
SHM190618-01,19-Jun-18,Speargun,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,Juvenile,2,87,52,,,,,
SHM200618-01,20-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,F,105,153,,,,,,Caught with young ones
SHM200618-01,20-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,,12,98,,,,,,
SHM200618-01,20-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,,0.645,52,,,,,,
SHM200618-01,20-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,,0.64,51,,,,,,
SHM200618-01,20-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,,0.61,52,,,,,,
SHM200618-01,20-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,,0.635,52,,,,,,
SHM200618-01,20-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,,0.625,51,,,,,,
SHM200618-01,20-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,,,,,,,,,
SHM220618-01,22-Jun-18,Handline,Shimoni,Ray,Myliobatidae,Mobula kuhlii ,Flapnose ray,Tenga,F,20,,,,67,13,,
SHM250618-01,25-Jun-18,Handline,Shimoni,Shark,Rhyncodontidae,Rhynchobatus djiddensis,Giant guitarfish,Papa kiharere/Fuanda,F,19,65,26,,,,,
